TEAM_ID,TEAM_NAME,SORT_ORDER,G,SHOT_DIST_RANGE,REB_FREQUENCY,OREB,DREB,REB,C_OREB,C_DREB,C_REB,C_REB_PCT,UC_OREB,UC_DREB,UC_REB,UC_REB_PCT
1610612738,Boston Celtics,1,16,0-6 Feet,0.212,38,114,152,21,34,55,0.362,17,80,97,0.638
1610612738,Boston Celtics,2,16,7-13 Feet,0.147,17,88,105,10,28,38,0.362,7,60,67,0.638
1610612738,Boston Celtics,3,16,13-19 Feet,0.087,7,55,62,3,13,16,0.258,4,42,46,0.742
1610612738,Boston Celtics,4,16,19+ Feet,0.525,101,275,376,49,68,117,0.311,52,207,259,0.689
1610612738,Boston Celtics,1,3,0-6 Feet,0.267,4,23,27,2,7,9,0.333,2,16,18,0.667
1610612738,Boston Celtics,2,3,7-13 Feet,0.109,2,9,11,1,1,2,0.182,1,8,9,0.818
1610612738,Boston Celtics,3,3,13-19 Feet,0.069,0,7,7,0,2,2,0.286,0,5,5,0.714
1610612738,Boston Celtics,4,3,19+ Feet,0.495,10,40,50,6,3,9,0.18,4,37,41,0.82
1610612739,Cleveland Cavaliers,1,5,0-6 Feet,0.202,16,31,47,15,6,21,0.447,1,25,26,0.553
1610612739,Cleveland Cavaliers,2,5,7-13 Feet,0.167,9,30,39,5,14,19,0.487,4,16,20,0.513
1610612739,Cleveland Cavaliers,3,5,13-19 Feet,0.103,6,18,24,4,5,9,0.375,2,13,15,0.625
1610612739,Cleveland Cavaliers,4,5,19+ Feet,0.481,19,93,112,10,25,35,0.313,9,68,77,0.688
1610612739,Cleveland Cavaliers,1,7,0-6 Feet,0.224,16,36,52,11,8,19,0.365,5,28,33,0.635
1610612739,Cleveland Cavaliers,2,7,7-13 Feet,0.142,7,26,33,3,3,6,0.182,4,23,27,0.818
1610612739,Cleveland Cavaliers,3,7,13-19 Feet,0.108,1,24,25,1,3,4,0.16,0,21,21,0.84
1610612739,Cleveland Cavaliers,4,7,19+ Feet,0.487,17,96,113,6,22,28,0.248,11,74,85,0.752
1610612740,New Orleans Pelicans,1,4,0-6 Feet,0.238,14,29,43,10,7,17,0.395,4,22,26,0.605
1610612740,New Orleans Pelicans,2,4,7-13 Feet,0.133,7,17,24,6,3,9,0.375,1,14,15,0.625
1610612740,New Orleans Pelicans,3,4,13-19 Feet,0.099,6,12,18,5,3,8,0.444,1,9,10,0.556
