TEAM_ID,TEAM_NAME,SORT_ORDER,G,REB_DIST_RANGE,REB_FREQUENCY,OREB,DREB,REB,C_OREB,C_DREB,C_REB,C_REB_PCT,UC_OREB,UC_DREB,UC_REB,UC_REB_PCT
1610612738,Boston Celtics,1,16,0-3 Feet,0.214,32,121,153,24,43,67,0.438,8,78,86,0.562
1610612738,Boston Celtics,2,16,3-6 Feet,0.358,46,210,256,32,57,89,0.348,14,153,167,0.652
1610612738,Boston Celtics,3,16,6-10 Feet,0.218,26,130,156,13,28,41,0.263,13,102,115,0.737
1610612738,Boston Celtics,4,16,10+ Feet,0.211,64,87,151,14,15,29,0.192,50,72,122,0.808
1610612738,Boston Celtics,1,3,0-3 Feet,0.218,4,18,22,4,7,11,0.5,0,11,11,0.5
1610612738,Boston Celtics,2,3,3-6 Feet,0.327,5,28,33,3,1,4,0.121,2,27,29,0.879
1610612738,Boston Celtics,3,3,6-10 Feet,0.297,1,29,30,1,4,5,0.167,0,25,25,0.833
1610612738,Boston Celtics,4,3,10+ Feet,0.158,6,10,16,1,1,2,0.125,5,9,14,0.875
1610612739,Cleveland Cavaliers,1,5,0-3 Feet,0.172,13,27,40,13,11,24,0.6,0,16,16,0.4
1610612739,Cleveland Cavaliers,2,5,3-6 Feet,0.356,14,69,83,12,24,36,0.434,2,45,47,0.566
1610612739,Cleveland Cavaliers,3,5,6-10 Feet,0.275,9,55,64,5,9,14,0.219,4,46,50,0.781
1610612739,Cleveland Cavaliers,4,5,10+ Feet,0.197,14,32,46,4,6,10,0.217,10,26,36,0.783
1610612739,Cleveland Cavaliers,1,7,0-3 Feet,0.159,10,27,37,8,10,18,0.486,2,17,19,0.514
1610612739,Cleveland Cavaliers,2,7,3-6 Feet,0.319,12,62,74,8,11,19,0.257,4,51,55,0.743
1610612739,Cleveland Cavaliers,3,7,6-10 Feet,0.25,5,53,58,2,9,11,0.19,3,44,47,0.81
1610612739,Cleveland Cavaliers,4,7,10+ Feet,0.272,15,48,63,3,6,9,0.143,12,42,54,0.857
1610612740,New Orleans Pelicans,1,4,0-3 Feet,0.199,11,25,36,10,8,18,0.5,1,17,18,0.5
1610612740,New Orleans Pelicans,2,4,3-6 Feet,0.409,20,54,74,13,10,23,0.311,7,44,51,0.689
1610612740,New Orleans Pelicans,3,4,6-10 Feet,0.238,8,35,43,7,6,13,0.302,1,29,30,0.698
1610612740,New Orleans Pelicans,4,4,10+ Feet,0.155,10,18,28,2,3,5,0.179,8,15,23,0.821
1610612742,Dallas Mavericks,1,13,0-3 Feet,0.221,32,95,127,24,37,61,0.48,8,58,66,0.52
